"JHN.BRAIN.STRYKEER.BRAIN_STRYKER.t1_AX","COORD"
700,9371657
557,9371658
532,9371659
677,9371660
613,9371661
634,9437193
591,9437194
575,9437195
699,9437196
599,9437197
646,9502729
583,9502730
587,9502731
686,9502732
600,9502733
848,9568265
557,9568266
554,9568267
692,9568268
581,9568269
982,9633801
521,9633802
572,9633803
652,9633804
570,9633805
782,9699337
660,9699338
561,9699339
638,9699340
542,9699341
586,9764873
855,9764874
609,9764875
581,9764876
517,9764877
537,9830409
894,9830410
624,9830411
545,9830412
558,9830413
541,9895945
925,9895946
656,9895947
539,9895948
549,9895949
519,9961481
869,9961482
690,9961483
530,9961484
524,9961485
517,10027017
826,10027018
619,10027019
542,10027020
535,10027021
501,10092553
723,10092554
765,10092555
546,10092556
532,10092557
529,10158090
703,10158091
545,10158092
525,10158093
503,10223626
488,10223627
522,10223628
515,10223629
507,10289162
495,10289163
505,10289164
506,10354698
453,10354699
490,10354700
480,10420234
444,10420235
493,10420236
443,10485771
402,10485772
450,10551307
440,7471114
407,7536649
444,7536650
498,7602185
442,7602186
343,7602187
519,7667721
516,7667722
339,7667723
548,7733257
574,7733258
515,7733259
575,7798793
663,7798794
586,7798795
562,7864329
823,7864330
531,7864331
547,7929865
747,7929866
582,7929867
689,7929868
496,7995401
597,7995402
634,7995403
836,7995404
457,8060937
620,8060938
690,8060939
1043,8060940
452,8126473
653,8126474
718,8126475
1091,8126476
578,8192009
641,8192010
705,8192011
1115,8192012
742,8257545
609,8257546
699,8257547
1143,8257548
689,8323081
609,8323082
705,8323083
1137,8323084
597,8388617
615,8388618
726,8388619
1141,8388620
498,8388621
571,8454153
609,8454154
698,8454155
1115,8454156
541,8454157
617,8519689
560,8519690
682,8519691
1121,8519692
527,8519693
637,8585225
528,8585226
724,8585227
1105,8585228
554,8585229
588,8650761
574,8650762
726,8650763
1053,8650764
567,8650765
613,8716297
603,8716298
694,8716299
1045,8716300
678,8716301
650,8781833
642,8781834
698,8781835
990,8781836
753,8781837
644,8847369
686,8847370
743,8847371
930,8847372
776,8847373
624,8912905
767,8912906
720,8912907
881,8912908
810,8912909
633,8978441
745,8978442
653,8978443
795,8978444
807,8978445
636,9043977
648,9043978
651,9043979
708,9043980
727,9043981
626,9109513
691,9109514
689,9109515
597,9109516
652,9109517
655,9175049
715,9175050
682,9175051
648,9175052
644,9175053
644,9240585
656,9240586
567,9240587
720,9240588
624,9240589
706,9306121
586,9306122
556,9306123
612,9306124
616,9306125
722,9371657
577,9371658
580,9371659
632,9371660
610,9371661
638,9437193
559,9437194
572,9437195
743,9437196
617,9437197
676,9502729
532,9502730
543,9502731
794,9502732
631,9502733
921,9568265
580,9568266
538,9568267
784,9568268
590,9568269
1126,9633801
555,9633802
587,9633803
743,9633804
546,9633805
815,9699337
592,9699338
564,9699339
717,9699340
548,9699341
581,9764873
761,9764874
606,9764875
666,9764876
550,9764877
610,9830409
820,9830410
641,9830411
604,9830412
550,9830413
567,9895945
830,9895946
684,9895947
567,9895948
529,9895949
558,9961481
875,9961482
688,9961483
564,9961484
527,9961485
538,10027017
930,10027018
613,10027019
526,10027020
530,10027021
512,10092553
934,10092554
807,10092555
529,10092556
517,10092557
503,10158089
